name,b2bcnt2y,model2score,sbfecardcount
Application-429045,0.0,690,-99.0
Application-409179,3.0,605,1.0
Application-440656,0.0,752,0.0
Application-446972,0.0,713,4.0
Application-437186,3.0,564,-99.0
Application-412495,0.0,578,1.0
Application-436204,0.0,669,-99.0
Application-448458,1.0,693,-99.0
Application-441613,27.0,667,4.0
Application-446041,0.0,634,-99.0
Application-441149,0.0,784,-99.0
Application-392939,1.0,501,-99.0
Application-380888,1.0,655,-99.0
Application-406525,0.0,705,-99.0
Application-388009,6.0,589,0.0
Application-447375,3.0,578,-99.0
Application-439053,0.0,614,2.0
Application-393960,0.0,686,-99.0
Application-448222,0.0,651,0.0
Application-422539,-99999.0,222,-99.0
Application-442418,4.0,736,-99.0
Application-375233,1.0,501,-99.0
Application-427522,3.0,597,-99.0
Application-374702,3.0,581,2.0
Application-443255,0.0,501,2.0
Application-427665,0.0,680,0.0
Application-431920,2.0,501,1.0
Application-437511,-99999.0,756,1.0
Application-385830,0.0,648,1.0
Application-386206,1.0,678,-99.0
Application-396905,0.0,635,-99.0
Application-387073,0.0,556,-99.0
Application-399076,1.0,658,-99.0
Application-427403,0.0,653,-99.0
Application-379349,1.0,681,-99.0
Application-445550,0.0,704,-99.0
Application-379255,3.0,719,-99.0
Application-444987,0.0,733,-99.0
Application-379859,0.0,655,-99.0
Application-376979,-99999.0,665,1.0
Application-443968,0.0,710,-99.0
Application-442963,0.0,692,1.0
Application-434859,0.0,657,0.0
Application-377934,0.0,642,1.0
Application-431278,1.0,679,-99.0
Application-414088,-99999.0,222,-99.0
Application-442365,0.0,637,-99.0
Application-446436,0.0,583,2.0
Application-441120,0.0,719,-99.0
Application-439004,1.0,799,8.0
Application-443046,0.0,606,0.0
Application-383908,0.0,674,-99.0
Application-448334,0.0,641,-99.0
Application-435859,0.0,590,1.0
Application-409927,0.0,701,-99.0
Application-434139,2.0,613,1.0
Application-444896,0.0,688,-99.0
Application-436979,0.0,650,-99.0
Application-418083,1.0,749,-99.0
Application-441300,1.0,715,-99.0
Application-431974,1.0,600,2.0
Application-414370,5.0,693,-99.0
Application-430707,0.0,738,-99.0
Application-442540,0.0,702,-99.0
Application-442517,1.0,680,-99.0
Application-441117,0.0,660,2.0
Application-449346,0.0,680,-99.0
Application-443335,0.0,677,-99.0
Application-446157,0.0,678,0.0
Application-444389,0.0,725,1.0
Application-376399,0.0,549,-99.0
Application-445092,2.0,610,-99.0
Application-395619,0.0,696,-99.0
Application-446280,1.0,684,-99.0
Application-393999,3.0,691,-99.0
Application-448360,0.0,707,-99.0
Application-376418,1.0,720,1.0
