accountnumber,b2bcnt2y,model2score,sbfecardcount
a3P0g000002efENEAY,-99999.0,222,-99.0
a3P0g000002ekSREAY,-99999.0,222,-99.0
a3P0g000002eq1rEAA,0.0,607,1.0
a3P0g000002evZgEAI,0.0,723,-99.0
a3P0g000002ewhgEAA,0.0,694,1.0
a3P0g000002exknEAA,2.0,741,2.0
a3P0g000002f1QzEAI,-99999.0,222,-99.0
a3P0g000002f3lfEAA,-99999.0,761,1.0
a3P0g000002fPalEAE,1.0,634,3.0
a3P0g000003hZt1EAE,1.0,683,-99.0
a3P0g000003hZuTEAU,-99999.0,222,-99.0
a3P0g000003haI6EAI,0.0,764,3.0
a3P0g000003iP16EAE,2.0,587,8.0
a3P0g000003ihbvEAA,0.0,704,-99.0
a3P0g000003itCMEAY,0.0,713,2.0
a3P0g000003j9TwEAI,0.0,712,-99.0
a3P0g000003jclTEAQ,1.0,759,1.0
a3P0g000003jd6NEAQ,-99999.0,222,-99.0
a3P0g000003jf7rEAA,0.0,682,1.0
a3P0g000003jfHcEAI,-99999.0,222,-99.0
a3P0g000003k1yUEAQ,0.0,689,-99.0
a3P0g000002XqbHEAS,1.0,737,3.0
a3P0g000002XurrEAC,0.0,731,0.0
a3P4u000002Y69LEAS,0.0,719,-99.0
a3P4u000002Y76fEAC,0.0,689,1.0
a3P4u000002Y7AcEAK,0.0,695,-99.0
a3P4u000003uTY1EAM,3.0,501,2.0
a3P4u000003ujvpEAA,1.0,648,-99.0
a3P4u000003uv4uEAA,0.0,687,1.0
a3P4u000003v4wEEAQ,0.0,841,4.0
a3P4u000003vHhTEAU,-99999.0,222,-99.0
a3P4u000004C9ECEA0,0.0,689,-99.0
a3P4u000004CPOGEA4,0.0,696,3.0
a3P4u000004CSXPEA4,1.0,673,-99.0
a3P4u000004CVD5EAO,2.0,665,-99.0
a3P4u0000048WCREA2,-99999.0,222,-99.0
a3P4u0000048YHLEA2,3.0,625,1.0
a3P4u0000048cpmEAA,-99999.0,222,-99.0
a3P4u0000049026EAA,1.0,678,-99.0
a3P4u00000492DuEAI,0.0,697,-99.0
a3P4u00000497t7EAA,0.0,620,2.0
a3P4u00000499XMEAY,0.0,709,-99.0
a3P4u0000049BCjEAM,1.0,566,3.0
a3P4u0000049HQLEA2,0.0,651,-99.0
a3P4u0000049LskEAE,0.0,711,-99.0
a3P4u0000049MW7EAM,3.0,717,2.0
a3P4u0000049YVWEA2,0.0,721,-99.0
a3P4u0000049bJzEAI,1.0,687,-99.0
a3P4u0000049cTJEAY,-99999.0,222,-99.0
a3P4u0000049dd4EAA,0.0,732,-99.0
a3P4u0000049gjQEAQ,0.0,624,0.0
a3P4u0000049jEUEAY,0.0,672,-99.0
a3P4u0000049jIoEAI,0.0,686,-99.0
a3P4u0000049kKsEAI,1.0,681,-99.0
a3P4u0000049mNxEAI,2.0,732,-99.0
a3P4u0000049mqkEAA,0.0,628,-99.0
a3P4u0000049siIEAQ,-99999.0,222,-99.0
a3P4u0000049smvEAA,2.0,727,-99.0
a3P4u000004A465EAC,0.0,629,6.0
a3P4u000004A7dqEAC,0.0,705,-99.0
a3P4u000004A91OEAS,0.0,729,-99.0
a3P4u000004A941EAC,-99999.0,222,-99.0
a3P4u000004AALgEAO,-99999.0,693,0.0
a3P4u000004AApCEAW,0.0,709,1.0
a3P4u000004AAxBEAW,-99999.0,222,-99.0
a3P4u000004AB0FEAW,0.0,715,-99.0
a3P4u000004ABJHEA4,-99999.0,222,-99.0
a3P4u000004AEZfEAO,0.0,699,-99.0
a3P4u000004AFKhEAO,0.0,726,1.0
a3P4u000004AFu6EAG,-99999.0,222,-99.0
a3P4u000004AFzsEAG,1.0,729,-99.0
a3P4u000004AG2yEAG,0.0,705,-99.0
a3P4u000004AIEfEAO,0.0,703,-99.0
a3P4u000004AISSEA4,0.0,702,1.0
a3P4u000004AIVnEAO,1.0,620,-99.0
a3P4u000004AJAkEAO,0.0,674,-99.0
a3P4u000004AJGEEA4,0.0,618,0.0
a3P4u000004AKjYEAW,0.0,584,1.0
a3P4u000004AKuLEAW,0.0,628,1.0
a3P4u000004AKuuEAG,0.0,666,-99.0
a3P4u000004AMkuEAG,0.0,740,1.0
a3P4u000004AMybEAG,0.0,692,-99.0
a3P4u000004ANRBEA4,-99999.0,222,-99.0
a3P4u000004ANd7EAG,16.0,862,36.0
a3P4u000004ANhkEAG,0.0,671,-99.0
a3P4u000004ANj4EAG,0.0,620,-99.0
a3P4u000004ANwmEAG,0.0,687,2.0
a3P4u000004ANwwEAG,0.0,712,5.0
a3P4u000004AOYMEA4,0.0,678,-99.0
a3P4u000004APPXEA4,-99999.0,222,-99.0
a3P4u000004APaPEAW,2.0,729,5.0
a3P4u000004APpdEAG,0.0,687,0.0
a3P4u000004AQLpEAO,-99999.0,222,-99.0
a3P4u000004AQPmEAO,-99999.0,222,-99.0
a3P4u000004AR4VEAW,0.0,703,-99.0
a3P4u000004AR5sEAG,0.0,687,-99.0
a3P4u000004ARA0EAO,0.0,625,-99.0
a3P4u000004ARSeEAO,-99999.0,222,-99.0
a3P4u000004ARaTEAW,1.0,774,1.0
a3P4u000004ARrtEAG,1.0,744,-99.0
a3P4u000004ARuYEAW,0.0,720,1.0
a3P4u000004AS3QEAW,2.0,547,-99.0
a3P4u000004ASACEA4,2.0,567,0.0
a3P4u000004ASRVEA4,-99999.0,222,-99.0
a3P4u000004ASb4EAG,0.0,709,-99.0
a3P4u000004ATD1EAO,0.0,712,-99.0
a3P4u000004ATvDEAW,0.0,693,-99.0
a3P4u000004ATxOEAW,-99999.0,222,-99.0
a3P4u000004AU6zEAG,1.0,645,2.0
a3P4u000004AUDpEAO,-99999.0,222,-99.0
a3P4u000004AUEJEA4,0.0,675,-99.0
a3P4u000004AV0rEAG,0.0,709,-99.0
a3P4u000004AVBFEA4,0.0,705,-99.0
a3P4u000004AVBUEA4,11.0,866,9.0
a3P4u000004AVDLEA4,1.0,673,-99.0
a3P4u000004AVKCEA4,4.0,751,-99.0
a3P4u000004AVY4EAO,0.0,770,-99.0
a3P4u000004AVY9EAO,1.0,737,-99.0
a3P4u000004AVptEAG,1.0,716,1.0
a3P4u000004AVyKEAW,0.0,642,1.0
a3P4u000004AWafEAG,3.0,501,3.0
a3P4u000004AWuVEAW,1.0,674,1.0
a3P4u000004AWwgEAG,0.0,690,-99.0
a3P4u000004AWxoEAG,-99999.0,222,-99.0
a3P4u000004AXAnEAO,-99999.0,222,-99.0
a3P4u000004AXD3EAO,-99999.0,222,-99.0
a3P4u000004AXv4EAG,0.0,679,-99.0
a3P4u000004AXvsEAG,0.0,661,-99.0
a3P4u000004AY9MEAW,1.0,669,-99.0
a3P4u000004AYL8EAO,-99999.0,222,-99.0
a3P4u000004AYZDEA4,-99999.0,222,-99.0
a3P4u000004AYcHEAW,2.0,756,2.0
a3P4u000004AYhwEAG,4.0,695,-99.0
a3P4u000004AZ3EEAW,0.0,700,-99.0
a3P4u000004AZ9CEAW,-99999.0,222,-99.0
a3P4u000004AZE9EAO,0.0,717,-99.0
a3P4u000004AZedEAG,0.0,679,-99.0
a3P4u000004AZrcEAG,-99999.0,222,-99.0
a3P4u000004Aa2vEAC,2.0,730,3.0
a3P4u000004AaMqEAK,0.0,665,-99.0
a3P4u000004Ab3uEAC,0.0,707,-99.0
a3P4u000004AbK4EAK,-99999.0,222,-99.0
a3P4u000004AbnVEAS,0.0,544,1.0
a3P4u000004AbsaEAC,0.0,703,-99.0
a3P4u000004Ac4gEAC,1.0,501,1.0
a3P4u000004AcG5EAK,-99999.0,718,0.0
a3P4u000004AcUHEA0,-99999.0,222,-99.0
a3P4u000004AcnrEAC,0.0,715,-99.0
a3P4u000004AcwWEAS,0.0,703,-99.0
a3P4u000004Ad24EAC,0.0,703,-99.0
a3P4u000004Ad6PEAS,0.0,700,0.0
a3P4u000004AdziEAC,-99999.0,222,-99.0
a3P4u000004AeACEA0,0.0,712,-99.0
a3P4u000004AeAbEAK,0.0,691,-99.0
a3P4u000004AeJdEAK,0.0,707,2.0
a3P4u000004AeT4EAK,0.0,725,1.0
a3P4u000004AeUCEA0,0.0,689,-99.0
a3P4u000004AeejEAC,-99999.0,222,-99.0
a3P4u000004AejPEAS,-99999.0,222,-99.0
a3P4u000004AezcEAC,0.0,708,-99.0
a3P4u000004Af1YEAS,0.0,702,-99.0
a3P4u000004Af7CEAS,-99999.0,222,-99.0
a3P4u000004AfCIEA0,0.0,691,-99.0
a3P4u000004AfFPEA0,0.0,706,-99.0
a3P4u000004AfONEA0,1.0,617,-99.0
a3P4u000004AfglEAC,0.0,608,-99.0
a3P4u000004AfkBEAS,0.0,667,1.0
a3P4u000004AfnoEAC,0.0,602,2.0
a3P4u000004AfrlEAC,2.0,666,3.0
a3P4u000004AfufEAC,0.0,727,-99.0
a3P4u000004AfwqEAC,0.0,673,-99.0
a3P4u000004AgQrEAK,0.0,666,-99.0
a3P4u000004AgWqEAK,0.0,697,-99.0
a3P4u000004AgYrEAK,0.0,670,1.0
a3P4u000004AgZaEAK,-99999.0,222,-99.0
a3P4u000004AgfFEAS,0.0,665,-99.0
a3P4u000004AgqwEAC,1.0,640,-99.0
a3P4u000004AgrQEAS,0.0,669,-99.0
a3P4u000004AhL6EAK,1.0,654,1.0
a3P4u000004AhSREA0,0.0,689,-99.0
a3P4u000004AhUmEAK,0.0,707,0.0
a3P4u000004AhWiEAK,0.0,682,0.0
a3P4u000004AhbCEAS,-99999.0,222,-99.0
a3P4u000004AhcsEAC,-99999.0,685,1.0
a3P4u000004AhoXEAS,0.0,659,1.0
a3P4u000004AhuVEAS,0.0,685,1.0
a3P4u000004Ai0tEAC,0.0,675,-99.0
a3P4u000004Ai2pEAC,0.0,711,-99.0
a3P4u000004Ai7sEAC,0.0,659,2.0
a3P4u000004AiLyEAK,0.0,732,1.0
